,name,NN_cost,NN_time,NN2Opt_cost,NN2Opt_time,NN2OptDLB_cost,NN2OptDLB_time,NN3Opt_cost,NN3Opt_time,NN3OptDLB_cost,NN3OptDLB_time,repNN_cost,repNN_time,repNN2Opt_cost,repNN2Opt_time,repNN2OptDLB_cost,repNN2OptDLB_time,repNN3Opt_cost,repNN3Opt_time,repNN3OptDLB_cost,repNN3OptDLB_time
0,pr107.tsp,46678.15415698668,0.0013751983642578,44610.9152930388,0.0618050098419189,44610.9152930388,0.0066373348236083,0.0,0.0,44610.9152930388,2.985891103744507,46678.15415698668,0.6746973991394043,44610.9152930388,0.7195086479187012,44610.9152930388,0.6800179481506348,0.0,0.0,44610.9152930388,3.689992666244507
1,pr124.tsp,69299.42521616323,0.0019376277923583,60304.03449516656,0.0670990943908691,60413.14498485148,0.0093002319335937,0.0,0.0,60304.03449516656,4.641245603561401,67056.60067424613,1.0417234897613523,60665.3489228791,1.233130931854248,63313.576515579,1.076056718826294,0.0,0.0,60133.73204683443,5.982324123382568
2,kroC100.tsp,26327.36210986593,0.001373291015625,22130.7422530985,0.0665507316589355,22663.61389244914,0.00642991065979,0.0,0.0,21516.98790970977,3.292649507522583,23566.4029464274,0.7954082489013672,21634.129648016784,0.7388701438903809,21760.54861632206,0.5833225250244141,0.0,0.0,21343.05940308914,3.4385931491851807
3,pr136.tsp,120777.85961075767,0.0024459362030029,103807.84560469064,0.2009496688842773,105975.42577302804,0.0116987228393554,0.0,0.0,103265.28325600731,7.534723997116089,114560.90238554183,1.4213273525238037,106379.74177389604,1.5530197620391846,108427.04628335356,1.4263849258422852,0.0,0.0,104019.3782985772,8.770632266998291
4,kroD100.tsp,26950.46122270427,0.0012300014495849,22777.192150776107,0.1116409301757812,23758.95204506989,0.0067496299743652,0.0,0.0,22074.446235814987,4.24725341796875,24855.79918304816,0.6581981182098389,23539.859734312056,0.6613054275512695,23685.51896867747,0.6128530502319336,0.0,0.0,21610.434191805896,3.672476768493652
5,kroB150.tsp,32825.749887629725,0.0027930736541748,27098.35434620445,0.3083178997039795,27861.93775912057,0.0146334171295166,0.0,0.0,27244.58584509553,10.458809852600098,31320.3404526817,2.217855215072632,27329.102436732977,2.4259605407714844,27444.988798321345,2.0677170753479004,0.0,0.0,27235.65490103111,12.82984733581543
6,pr152.tsp,85702.95365681675,0.0028345584869384,75796.32867140447,0.261542797088623,76663.1993707648,0.0137362480163574,0.0,0.0,75637.77000856785,9.659595966339111,79566.58535311198,2.013104200363159,76107.50616522081,2.228184938430786,78032.77134402574,2.1035890579223637,0.0,0.0,74838.0567303338,12.441781520843506
7,ch150.tsp,8194.614331512179,0.0027656555175781,6837.250397992183,0.3277475833892822,7016.707559826839,0.0143702030181884,0.0,0.0,6747.899874036057,10.956562995910645,7078.444681769652,2.04856014251709,6728.546403335812,2.2555534839630127,6741.69911618435,2.004708766937256,0.0,0.0,6682.311271019675,10.47101902961731
8,kroE100.tsp,27587.18745819069,0.0013878345489501,23189.388438306705,0.1236102581024169,24889.697785583645,0.0067095756530761,0.0,0.0,22960.59535018557,3.073486804962158,24907.021609467363,0.5588705539703369,22620.433189280197,0.6775717735290527,22759.53405212132,0.5674178600311279,0.0,0.0,22427.31101081525,3.739978551864624
9,pr144.tsp,61650.7197954738,0.0026674270629882,61243.80487348169,0.0541119575500488,61243.80487348169,0.0119798183441162,0.0,0.0,58535.221761372166,7.189153671264648,60963.2650745985,1.7012944221496582,60753.46632370239,1.797222137451172,60753.46632370239,1.699347972869873,0.0,0.0,58761.43326062652,8.211214303970337
